date,ts_code,name,score,forward_return,mom_20d,regime,high,medium,low,mom_score,slope_score,turnover_score,strength_score,breadth_score,mf_score,score_bucket
20251211,801790.SI,非银金融,5.86,3.47,-2.96,BULL,0,1,0,5.01,4.96,9.23,5.100172482420061,2.16,5.0,"(5.8, 6.1]"
20251211,801880.SI,汽车,6.15,-1.13,-1.9,BULL,0,1,0,5.37,5.17,9.57,5.316107204458007,4.37,5.0,"(6.1, 6.4]"
20251211,801890.SI,机械设备,6.54,-1.53,0.88,BULL,0,1,0,6.25,5.43,9.57,5.583454955552607,4.17,5.0,"(6.4, 6.7]"
20251211,801950.SI,煤炭,4.28,0.64,-9.09,BULL,0,0,1,2.31,4.22,7.24,4.339259652381584,1.29,5.0,"(4.1, 4.4]"
20251211,801960.SI,石油石化,4.87,1.03,-4.98,BULL,0,0,1,2.92,4.59,8.31,4.719716067400823,0.38,5.0,"(4.6, 4.9]"
20251211,801970.SI,环保,5.22,-1.42,-5.69,BULL,0,1,0,3.42,4.53,9.46,4.6580204325328385,2.78,5.0,"(5.2, 5.5]"
20251211,801980.SI,美容护理,4.56,0.77,-8.24,BULL,0,0,1,2.33,4.25,8.55,4.370107469815577,2.86,5.0,"(4.4, 4.6]"
20251212,801010.SI,农林牧渔,5.44,0.87,-3.47,BULL,0,1,0,3.94,4.71,9.44,4.781256139891284,2.32,5.0,"(5.2, 5.5]"
20251212,801030.SI,基础化工,4.99,2.58,-6.68,BULL,0,0,1,3.16,4.62,8.55,4.689894557600368,2.49,5.0,"(4.9, 5.2]"
20251212,801040.SI,钢铁,5.04,2.09,-8.02,BULL,0,1,0,2.76,4.41,9.96,4.476717532254897,1.35,5.0,"(4.9, 5.2]"
20251212,801050.SI,有色金属,6.62,1.46,1.07,BULL,0,1,0,6.34,5.52,9.68,5.60351038050953,5.56,5.0,"(6.4, 6.7]"
20251212,801080.SI,电子,6.76,-3.28,3.55,BULL,0,1,0,6.79,5.63,9.42,5.7151745366428734,5.51,5.0,"(6.7, 6.9]"
20251212,801110.SI,家用电器,6.06,0.16,-0.73,BULL,0,1,0,4.8,5.25,9.9,5.329425633636782,3.06,5.0,"(5.8, 6.1]"
20251212,801120.SI,食品饮料,4.99,1.05,-4.81,BULL,0,0,1,2.87,4.41,9.54,4.476717532254897,0.94,5.0,"(4.9, 5.2]"
20251212,801130.SI,纺织服饰,4.85,2.18,-6.23,BULL,0,0,1,2.33,4.52,9.39,4.588381688388238,1.61,5.0,"(4.6, 4.9]"
20251212,801140.SI,轻工制造,6.25,1.8,-0.52,BULL,0,1,0,5.3,5.39,9.7,5.4715436505337625,2.69,5.0,"(6.1, 6.4]"
20251212,801150.SI,医药生物,5.17,-0.14,-6.09,BULL,0,1,0,3.07,4.72,9.37,4.791407426812498,1.78,5.0,"(4.9, 5.2]"
20251212,801160.SI,公用事业,5.59,-0.59,-3.45,BULL,0,1,0,4.37,4.81,9.26,4.882769009103413,3.29,5.0,"(5.5, 5.8]"
20251212,801170.SI,交通运输,5.2,2.04,-5.78,BULL,0,1,0,3.12,4.72,9.44,4.791407426812498,2.09,5.0,"(4.9, 5.2]"
20251212,801180.SI,房地产,4.22,-0.41,-9.63,BULL,0,0,1,1.97,4.13,7.73,4.192481498460935,0.47,5.0,"(4.1, 4.4]"
20251212,801200.SI,商贸零售,5.34,6.66,-5.04,BULL,0,1,0,3.6,4.92,8.92,4.994433165236756,2.46,5.0,"(5.2, 5.5]"
20251212,801210.SI,社会服务,5.57,2.66,-2.52,BULL,0,1,0,3.86,4.89,9.74,4.963979304473117,1.88,5.0,"(5.5, 5.8]"
20251212,801230.SI,综合,5.24,-1.53,-5.03,BULL,0,1,0,3.98,5.07,7.48,5.14670246905495,0.0,5.0,"(5.2, 5.5]"
20251212,801710.SI,建筑材料,5.54,0.64,-3.61,BULL,0,1,0,4.17,5.06,8.71,5.136551182133736,2.44,5.0,"(5.5, 5.8]"
20251212,801720.SI,建筑装饰,5.2,-0.1,-5.07,BULL,0,1,0,3.32,4.75,9.06,4.821861287576136,1.62,5.0,"(4.9, 5.2]"
20251212,801730.SI,电力设备,5.55,-3.12,-6.02,BULL,0,1,0,4.51,4.77,8.97,4.842163861418562,5.32,5.0,"(5.5, 5.8]"
20251212,801740.SI,国防军工,6.98,1.53,6.84,BULL,0,1,0,7.93,5.6,8.92,5.684720675879234,7.08,5.0,"(6.9, 7.2]"
20251212,801750.SI,计算机,4.99,-0.68,-2.61,BULL,0,0,1,3.42,4.59,8.27,4.659440696836729,2.5,5.0,"(4.9, 5.2]"
20251212,801760.SI,传媒,5.13,-0.18,-0.79,BULL,0,1,0,4.08,4.78,7.48,4.852315148339775,1.98,5.0,"(4.9, 5.2]"
20251212,801770.SI,通信,7.84,-0.89,16.77,BULL,1,0,0,8.91,6.78,8.77,6.882572532582358,5.95,5.0,"(7.8, 8.1]"
20251212,801780.SI,银行,4.83,1.0,-4.36,BULL,0,0,1,2.35,4.64,8.96,4.7101971314427935,1.03,5.0,"(4.6, 4.9]"
20251212,801790.SI,非银金融,6.32,2.9,-0.82,BULL,0,1,0,5.94,5.1,9.83,5.177156329818588,3.33,5.0,"(6.1, 6.4]"
20251212,801880.SI,汽车,6.39,-0.1,-0.3,BULL,0,1,0,5.92,5.26,9.81,5.339576920557994,4.54,5.0,"(6.4, 6.7]"
20251212,801890.SI,机械设备,6.74,-1.56,3.08,BULL,0,1,0,6.98,5.54,9.27,5.623812954351957,4.71,5.0,"(6.7, 6.9]"
20251212,801950.SI,煤炭,4.56,0.33,-8.7,BULL,0,0,1,2.45,4.29,8.32,4.354902089200342,1.61,5.0,"(4.4, 4.6]"
20251212,801960.SI,石油石化,4.81,1.6,-5.4,BULL,0,0,1,2.79,4.58,8.34,4.649289409915516,0.77,5.0,"(4.6, 4.9]"
20251212,801970.SI,环保,5.31,0.25,-5.25,BULL,0,1,0,3.73,4.64,9.26,4.7101971314427935,3.06,5.0,"(5.2, 5.5]"
20251212,801980.SI,美容护理,4.65,2.87,-7.52,BULL,0,0,1,2.47,4.28,8.75,4.34475080227913,2.86,5.0,"(4.6, 4.9]"
20251215,801010.SI,农林牧渔,5.96,0.27,-1.72,BULL,0,1,0,5.47,4.8,9.6,4.803719008264463,3.33,5.0,"(5.8, 6.1]"
20251215,801030.SI,基础化工,5.14,3.16,-6.77,BULL,0,1,0,3.49,4.78,8.5,4.783703512396694,3.06,5.0,"(4.9, 5.2]"
20251215,801040.SI,钢铁,5.24,2.08,-7.47,BULL,0,1,0,3.24,4.58,9.89,4.583548553719009,3.51,5.0,"(5.2, 5.5]"
20251215,801050.SI,有色金属,6.56,4.41,1.25,BULL,0,1,0,6.14,5.64,9.47,5.644369834710744,5.06,5.0,"(6.4, 6.7]"
